t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
0.527810842,1.006445413,0.949999988,0.000000000,0.418879032,0.000000000,0.000000000,0.000000000
0.538264434,1.019126209,0.987999976,0.000000000,0.418879032,0.000000000,0.000000000,0.000000000
0.548769890,1.031471278,1.006999969,0.000000000,0.436332315,0.000000000,0.000000000,0.000000000
0.559277586,1.043414391,1.026000023,0.000000000,0.436332315,0.000000000,0.000000000,0.000000000
0.569772094,1.054933969,1.044999957,0.000000000,0.436332315,0.000000000,0.000000000,0.000000000
0.580258723,1.066032566,1.026000023,0.000000000,0.436332315,0.000000000,0.000000000,0.000000000
0.590750176,1.076719466,1.026000023,0.033563963,0.436332315,0.000000000,0.000000000,0.848426195
0.601386797,1.087124362,1.026000023,0.529635679,0.436332315,0.052359879,0.018173644,3.181009399
0.611812859,1.096899210,1.006999969,0.633996262,0.436332315,0.157079637,0.066386668,5.796508801
0.622389375,1.106382243,1.026000023,0.715092527,0.436332315,0.279252678,0.140270551,7.811946741
0.632889996,1.115362236,1.064000010,0.780760938,0.436332315,0.401425719,0.230915167,9.429573616
0.643413979,1.123923794,1.082999945,0.845532598,0.453785598,0.541052043,0.338560895,11.016592848
0.653983425,1.132077195,1.064000010,0.900702602,0.453785598,0.698131680,0.463364689,12.352889436
0.664979300,1.140082613,1.082999945,0.943639337,0.471238911,0.872664630,0.605429027,13.371893947
0.676068095,1.147659687,1.082999945,0.983122533,0.488692194,1.047197580,0.758762929,14.298337270
0.686954873,1.154610975,1.082999945,1.014354051,0.506145477,1.221730471,0.919454810,15.012759312
0.697406307,1.160826896,1.101999998,1.031470902,0.523598790,1.378810167,1.078892934,15.370977869
0.708426381,1.166893020,1.064000010,1.059869396,0.541052043,1.570796371,1.249628204,16.009096662
0.718855497,1.172170175,1.101999998,1.092166800,0.558505356,1.745329261,1.421681594,16.745156121
0.729386157,1.177039093,1.139999986,1.101664839,0.593411922,1.937315464,1.600653485,16.901664682
0.739942644,1.181454488,1.120999932,1.115255807,0.610865235,2.111848354,1.778084638,17.162353416
0.750362899,1.185354142,1.139999986,1.121950662,0.645771801,2.303834677,1.960567760,17.246363624
0.760949746,1.188847817,1.101999998,1.100784227,0.680678427,2.478367567,2.140291428,16.627387901
0.771887285,1.191960004,1.120999932,1.090574109,0.715584993,2.652900457,2.318213424,16.286206144
0.782356042,1.194464297,1.139999986,1.096285155,0.733038306,2.809980154,2.488901245,16.350856295
0.792846932,1.196507302,1.139999986,1.091513945,0.767944872,2.984513044,2.660923654,16.149913820
0.803338103,1.198082470,1.159000039,1.088817985,0.802851439,3.141592741,2.827759582,16.003851472
0.813862909,1.199191918,1.139999986,1.089179670,0.855211318,3.316125631,2.997267057,15.933832263
0.824342843,1.199827690,1.177999973,1.101434729,0.890117943,3.473205328,3.162460962,16.166466973
0.834872267,1.199994951,1.139999986,1.123674654,0.925024509,3.665191412,3.336954191,16.647155132
0.845308240,1.199694311,1.177999973,1.126060982,0.977384388,3.839724302,3.511461187,16.625979793
0.855866312,1.198917755,1.159000039,1.127355241,1.012290955,4.014257431,3.685977253,16.577195033
0.866363899,1.197674881,1.139999986,1.134069041,1.064650893,4.188790321,3.860499158,16.665402128
0.876811003,1.195972432,1.177999973,1.138260450,1.117010713,4.363323212,4.035024877,16.689846699
0.887278085,1.193801628,1.159000039,1.139699580,1.169370651,4.537856102,4.209553084,16.644718302
0.897782233,1.191155968,1.101999998,1.130639937,1.221730471,4.712388992,4.384082917,16.334202317
0.908276815,1.188046396,1.177999973,1.126821663,1.274090409,4.869468689,4.552555964,16.159005661
0.918764396,1.184474471,1.139999986,1.124279580,1.326450229,5.044001579,4.723132329,16.015086166
0.929287370,1.180425272,1.159000039,1.112397901,1.378810167,5.201081276,4.889024121,15.637269097
0.939785890,1.175922688,1.120999932,1.106407738,1.448623300,5.358160973,5.051857314,15.409805556
0.950291583,1.170956062,1.177999973,1.103008097,1.500983119,5.515240669,5.212693520,15.248757559
0.960795350,1.165531298,1.159000039,1.102585541,1.570796371,5.672319889,5.372225709,15.163572954
0.971276878,1.159662588,1.101999998,1.113573009,1.623156190,5.829399586,5.530906661,15.367207240
0.981803927,1.153312785,1.101999998,1.116396702,1.692969322,6.003932476,5.695089678,15.361909011
0.992496825,1.146398072,1.120999932,1.106355519,1.762782574,6.161012173,5.856807196,15.032565236
1.003620789,1.138710400,1.101999998,1.106213086,1.832595706,6.335545063,6.022972815,14.951363681
1.014513805,1.130697160,1.120999932,1.106296739,1.902408838,6.492624760,6.185984792,14.877349910
1.025396380,1.122215602,1.064000010,1.113898333,1.989675403,6.649704456,6.346937728,14.994335398
1.035902724,1.113579230,1.064000010,1.125818824,2.059488535,6.806784153,6.506546297,15.221121331
1.046311077,1.104592760,1.101999998,1.125632414,2.129301786,6.963863850,6.665277117,15.142280264
1.056831735,1.095077272,1.064000010,1.110949679,2.216568232,7.120943546,6.823434847,14.697270322
1.067397555,1.085087521,1.064000010,1.107279344,2.286381245,7.260569572,6.975160389,14.533634524
1.077841721,1.074789794,1.064000010,1.095519216,2.373647690,7.417649269,7.128744310,14.164637929
