t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
3.284215913,0.166116307,0.208999991,0.263815636,11.746066093,9.756390572,9.756390572,-1.762975694
3.294755523,0.130632032,0.171000004,0.241839085,11.833332062,9.704030991,9.737809495,-2.321243073
3.305358956,0.094815891,0.151999995,0.198363391,11.938052177,9.651670456,9.707240953,-3.428286519
3.316481693,0.057154637,0.133000001,0.158963234,12.042772293,9.581857681,9.662745636,-4.424400948
3.327519520,0.019724916,0.056999996,0.119501831,12.147491455,9.512043953,9.609265463,-5.418266732
3.338456463,-0.017381762,0.056999996,0.070905608,12.252211571,9.424777985,9.543795575,-6.642366208
3.349339872,-0.054290369,0.018999999,0.034219493,12.356930733,9.320057869,9.464396785,-7.553694085
3.360639516,-0.092555680,0.000000000,0.006541111,12.444197655,9.215338707,9.376012442,-8.229129403
3.371561905,-0.129454071,0.000000000,-0.019181355,12.548917770,9.110618591,9.281830952,-8.851705666
3.382348835,-0.165773828,0.000000000,-0.039265431,12.636183739,9.005898476,9.183909573,-9.327427594
3.393463210,-0.203034455,-0.056999996,-0.073900098,12.740903854,8.883726120,9.077382142,-10.174350505
3.404457538,-0.239695507,-0.075999998,-0.125117120,12.828169823,8.744099617,8.959108697,-11.443481329
3.415349706,-0.275787623,-0.151999995,-0.150380709,12.915436745,8.587019920,8.827063906,-12.038110201
3.426624318,-0.312871094,-0.171000004,-0.186803157,13.020155907,8.447393417,8.692328559,-12.919078314
3.437377631,-0.347944281,-0.246999994,-0.231560567,13.107422829,8.272860527,8.543470082,-14.008764843
3.448517589,-0.383938974,-0.266000003,-0.254426276,13.177235603,8.098327637,8.385500412,-14.530576292
3.459531269,-0.419151357,-0.284999996,-0.290285575,13.264502525,7.923794746,8.221652879,-15.384637643
3.470471629,-0.453727020,-0.303999990,-0.333540764,13.351768494,7.731808662,8.047819694,-16.424986204
3.481464089,-0.488030062,-0.398999989,-0.371541806,13.421582222,7.522368908,7.861350648,-17.324591048
3.492468179,-0.521897240,-0.361000001,-0.407094033,13.508848190,7.312929630,7.666730054,-18.157635576
3.503528664,-0.555428862,-0.455999970,-0.442932817,13.578661919,7.086036682,7.460656827,-18.993185183
3.514558065,-0.588325407,-0.455999970,-0.487370157,13.648474693,6.859143734,7.247195213,-20.047112359
3.525385229,-0.620062484,-0.493999988,-0.519057881,13.718287468,6.614798069,7.022773639,-20.767904151
3.536509707,-0.652065576,-0.532000005,-0.547131587,13.788101196,6.370451927,6.791281346,-21.392576890
3.547535634,-0.683148733,-0.550999999,-0.593548008,13.840460777,6.108652592,6.549033859,-22.485231586
3.558374054,-0.713056405,-0.550999999,-0.622580613,13.910274506,5.846852779,6.299847751,-23.127072891
3.569542348,-0.743173576,-0.646000028,-0.651375274,13.962634087,5.567600250,6.039991839,-23.758239963
3.580545565,-0.772121090,-0.646000028,-0.685673771,14.014993668,5.288347721,5.773252564,-24.528270571
3.591474659,-0.800133929,-0.664999962,-0.718602221,14.067354202,5.009094715,5.502072486,-25.261113467
3.602375324,-0.827312922,-0.684000015,-0.746231851,14.119713783,4.712388992,5.221834009,-25.853585307
3.613378431,-0.853950320,-0.703000009,-0.769445941,14.154620171,4.415682793,4.935751559,-26.329810969
3.624481903,-0.879992828,-0.759999990,-0.809648458,14.189526558,4.101523876,4.639705489,-27.239465268
3.635360400,-0.904666763,-0.778999984,-0.833193721,14.224432945,3.787364483,4.337231463,-27.717242013
3.646458608,-0.928956963,-0.778999984,-0.867598544,14.259340286,3.473205328,4.030610684,-28.473027032
3.657228706,-0.951654783,-0.817000031,-0.916002324,14.294246674,3.141592741,3.715120952,-29.585689314
3.667774231,-0.973024454,-0.854999959,-0.934041759,14.311699867,2.827433348,3.400103323,-29.916277586
3.678278592,-0.993450799,-0.874000013,-0.941367013,14.329153061,2.513274193,3.085390344,-29.970966707
3.688768876,-1.012975267,-0.911999941,-0.956482011,14.346606255,2.199114799,2.770873819,-30.226426274
3.699289514,-1.031661243,-0.911999941,-0.980039662,14.364059448,1.867502332,2.450290381,-30.696809681
3.709783850,-1.049391140,-0.949999988,-0.986103729,14.381512642,1.535889745,2.125792980,-30.714839907
3.720300045,-1.066231220,-0.949999988,-0.990696501,14.381512642,1.221730471,1.804964315,-30.696527657
3.730811828,-1.082122244,-0.987999976,-1.010166367,14.381512642,0.890117943,1.480308734,-31.059863415
3.741285117,-1.097004503,-1.006999969,-0.988914408,14.381512642,0.558505356,1.153184289,-30.373033429
3.751795034,-1.110971848,-1.006999969,-0.944796206,14.381512642,0.279252678,0.843048310,-29.104336683
3.762218160,-1.123855033,-1.044999957,-0.882414584,14.381512642,0.000000000,0.543872025,-27.369787948
3.772728096,-1.135857237,-1.044999957,-0.825109591,14.364059448,-0.226892799,0.270347300,-25.776952707
3.783279971,-1.146898367,-1.064000010,-0.792446885,14.364059448,-0.488692194,0.000983595,-24.820747571
3.794090012,-1.157150998,-1.082999945,-1.111807803,14.346606255,-0.733038306,-0.259502006,-24.128369987
3.804890963,-1.166315447,-1.082999945,-1.092205253,14.329153061,-0.994837701,-0.520453839,-23.512215457
3.816056964,-1.174646126,-1.064000010,-1.071909382,14.311699867,-1.239183784,-0.775512716,-22.880708641
3.827020147,-1.181686522,-1.101999998,-1.069775828,14.294246674,-1.483529806,-1.026769874,-22.718735746
3.838069469,-1.187633464,-1.120999932,-1.085303034,14.276793480,-1.727875948,-1.275574490,-23.012800617
3.848854907,-1.192320555,-1.120999932,-1.086880218,14.241887093,-1.989675403,-1.528990642,-22.945507827
3.860037103,-1.196009378,-1.139999986,-1.072518259,14.206979752,-2.234021425,-1.779188036,-22.468946503
3.871034536,-1.198471266,-1.120999932,-1.076858913,14.189526558,-2.478367567,-2.027308971,-22.475103952
3.882057321,-1.199776147,-1.159000039,-1.076126764,14.154620171,-2.722713709,-2.274090328,-22.351141574
3.893078076,-1.199915824,-1.177999973,-1.090125047,14.102260590,-2.967059612,-2.520007405,-22.607046635
3.904063345,-1.198895678,-1.159000039,-1.100337733,14.067354202,-3.228859186,-2.771560774,-22.763023140
3.915067876,-1.196714183,-1.139999986,-1.100803929,14.032446861,-3.473205328,-3.020556483,-22.668990608
3.925958933,-1.193414563,-1.159000039,-1.092850627,13.980087280,-3.717551231,-3.267902094,-22.358749702
3.937155191,-1.188842936,-1.159000039,-1.093334117,13.927727699,-3.961897373,-3.514183271,-22.266318783
3.948056549,-1.183247035,-1.139999986,-1.092612617,13.875367165,-4.206243515,-3.759777753,-22.143136205
3.959040820,-1.176471678,-1.120999932,-1.070267479,13.823007584,-4.433136463,-3.998735539,-21.465691407
3.970123914,-1.168485348,-1.120999932,-1.069031058,13.770648003,-4.660028934,-4.233411653,-21.333892901
3.980915960,-1.159606124,-1.101999998,-1.069896634,13.718287468,-4.886921883,-4.465325721,-21.257424371
3.992161135,-1.149205656,-1.101999998,-1.071139700,13.648474693,-5.131268024,-4.701651614,-21.188802153
4.003070063,-1.138005995,-1.120999932,-1.061260870,13.578661919,-5.358160973,-4.934629996,-20.835072728
4.014131975,-1.125543870,-1.101999998,-1.050864281,13.526301384,-5.567600250,-5.159254952,-20.471561916
4.025056655,-1.112155736,-1.082999945,-1.058983199,13.456488609,-5.794493198,-5.384684760,-20.584722378
4.036060218,-1.097598401,-1.064000010,-1.049733554,13.386675835,-6.021386147,-5.610633799,-20.250196320
4.047083625,-1.081949616,-1.044999957,-1.041155345,13.316862106,-6.230825424,-5.830723946,-19.935463607
4.057950412,-1.065494420,-1.006999969,-1.026418997,13.229596138,-6.440264702,-6.047034372,-19.463688825
4.068869596,-1.047946839,-1.064000010,-0.994333383,13.159782410,-6.632251263,-6.254712880,-18.548621983
4.080056840,-1.028932763,-1.082999945,-0.977068799,13.072516441,-6.824237347,-6.456822549,-18.017760224
4.091103951,-1.009146644,-1.026000023,-0.978983131,13.002702713,-7.016223431,-6.655339616,-17.982533952
4.102007039,-0.988653097,-1.006999969,-0.964398805,12.915436745,-7.208209991,-6.851539173,-17.523240571
4.113066723,-0.966905479,-1.006999969,-0.939009178,12.828169823,-7.382742882,-7.040049784,-16.788845381
4.124169553,-0.944122102,-0.949999988,-0.936011459,12.740903854,-7.557275772,-7.223600060,-16.633444305
4.134948265,-0.921113606,-1.006999969,-0.920576496,12.653636932,-7.731808662,-7.403950296,-16.158985967
4.146000091,-0.896634062,-0.874000013,-0.879649770,12.566370964,-7.888888359,-7.576042413,-15.031301658
4.157081764,-0.871209427,-0.893000007,-0.861632807,12.479104042,-8.028514862,-7.736613314,-14.498747081
4.168064386,-0.845168172,-0.911999941,-0.851756850,12.391838074,-8.185594559,-7.895945275,-14.176456472
4.179067824,-0.818260357,-0.817000031,-0.832970297,12.287117958,-8.325220108,-8.048283935,-13.627580967
4.190091395,-0.790509199,-0.797999978,-0.826191750,12.199851036,-8.464846611,-8.196111376,-13.389988345
4.200930218,-0.762474285,-0.778999984,-0.809396643,12.095131874,-8.604473114,-8.341028513,-12.895579068
4.211954770,-0.733224581,-0.740999937,-0.770448808,11.990411758,-8.726646423,-8.477874448,-11.833887594
4.223107192,-0.702910917,-0.740999937,-0.742282683,11.903145790,-8.831365585,-8.603319412,-11.054820212
4.233974704,-0.672699119,-0.722000003,-0.714926943,11.798425674,-8.936085701,-8.721409658,-10.299763012
