t,tau_cmd,tau_meas,q,dq
3.168119169,-0.520900297,-0.513000011,-12.007864952,-11.414453506
3.178608503,-0.488805073,-0.569999993,-12.130038261,-11.379547119
3.189099929,-0.456512309,-0.513000011,-12.252211571,-11.327186584
3.199621447,-0.423947635,-0.513000011,-12.356930733,-11.292280197
3.210106680,-0.391329366,-0.398999989,-12.479104042,-11.222467422
3.220602655,-0.358524591,-0.437000006,-12.601277351,-11.152653694
3.231081331,-0.325633893,-0.379999995,-12.705996513,-11.082840919
3.241617501,-0.292434671,-0.417999983,-12.828169823,-11.013027191
3.252119072,-0.259229682,-0.227999985,-12.950343132,-10.925761223
3.262590068,-0.226020225,-0.303999990,-13.055063248,-10.838494301
3.273105162,-0.192582323,-0.284999996,-13.159782410,-10.733775139
3.283587903,-0.159171985,-0.284999996,-13.281955719,-10.646508217
3.294116456,-0.125553103,-0.171000004,-13.386675835,-10.524335861
3.304695074,-0.091724577,-0.208999991,-13.491394997,-10.419615746
3.315221164,-0.058027805,-0.151999995,-13.596115112,-10.297442436
3.325599397,-0.024781937,-0.094999999,-13.700834274,-10.157815933
3.336086779,0.008823169,-0.075999998,-13.805554390,-10.035643578
3.346601616,0.042512778,-0.056999996,-13.892821312,-9.878563881
3.357187715,0.076413810,-0.037999999,-13.997540474,-9.738937378
3.367678407,0.109979335,0.000000000,-14.102260590,-9.599310875
3.378151075,0.143444306,0.094999999,-14.189526558,-9.424777985
3.388631717,0.176878793,0.113999993,-14.276793480,-9.267698288
3.399139590,0.210330840,0.075999998,-14.381512642,-9.093165398
3.409626707,0.243634550,0.075999998,-14.468779564,-8.901179314
3.420122022,0.276868978,0.151999995,-14.556045532,-8.709193230
3.430624667,0.310018145,0.208999991,-14.643312454,-8.499752998
3.441269016,0.343490539,0.246999994,-14.730578423,-8.272860527
3.451945599,0.376925380,0.266000003,-14.800392151,-8.063421249
3.462778484,0.410693608,0.361000001,-14.887658119,-7.801621914
3.473237411,0.443133818,0.284999996,-14.957471848,-7.557275772
3.483617294,0.475158613,0.323000014,-15.027284622,-7.312929630
3.494146096,0.507456979,0.398999989,-15.097098351,-7.051130295
3.504644872,0.539464235,0.361000001,-15.166911125,-6.789330959
3.515167956,0.571333588,0.437000006,-15.236723900,-6.510077953
3.525806615,0.603324416,0.398999989,-15.289084435,-6.230825424
3.536843615,0.636256492,0.513000011,-15.358897209,-5.916666031
3.547930318,0.669059615,0.588999987,-15.411257744,-5.602507114
3.558787087,0.700899352,0.493999988,-15.463617325,-5.270894527
3.569659905,0.732491974,0.664999962,-15.515976906,-4.939281940
3.580123047,0.762603884,0.703000009,-15.550883293,-4.607669353
3.590628526,0.792539190,0.627000034,-15.585790634,-4.258603573
3.601132990,0.822160878,0.722000003,-15.620697021,-3.909537554
3.611701983,0.851639209,0.627000034,-15.655603409,-3.560471773
3.622142367,0.880427027,0.797999978,-15.673056602,-3.193952560
3.632630567,0.909003359,0.722000003,-15.707962990,-2.809980154
3.643200271,0.937442309,0.874000013,-15.725416183,-2.426007748
3.653617884,0.965107989,0.835999966,-15.742869377,-2.042035341
3.664110029,0.992595437,0.778999984,-15.742869377,-1.640609503
3.674666589,1.019859806,0.874000013,-15.742869377,-1.239183784
3.685194402,1.046647781,0.893000007,-15.742869377,-0.837758064
3.695728310,1.073038746,0.987999976,-15.742869377,-0.488692194
3.706085444,1.098574438,1.006999969,-15.742869377,-0.174532920
3.716606825,1.124086324,1.006999969,-15.742869377,0.052359879
3.727119650,1.149135893,1.006999969,-15.742869377,0.279252678
3.737623368,1.173713121,1.120999932,-15.725416183,0.506145477
3.748094078,1.197755208,1.139999986,-15.725416183,0.715584993
3.758606516,1.221423742,1.139999986,-15.707962990,0.907571197
3.769084338,1.244537134,1.101999998,-15.690509796,1.099557400
3.779605168,1.267256952,1.177999973,-15.673056602,1.291543603
3.790095156,1.289413993,1.159000039,-15.655603409,1.500983119
3.800587337,1.311071391,1.254000068,-15.638150215,1.692969322
3.811098248,1.332253274,1.254000068,-15.603243828,1.902408838
3.821598271,1.352891086,1.310999990,-15.585790634,2.129301786
3.832093909,1.372990667,1.310999990,-15.550883293,2.338741302
3.842617833,1.392604865,1.234999895,-15.515976906,2.548180819
3.853174610,1.411729729,1.368000031,-15.481070518,2.757620335
3.863750142,1.430328087,1.368000031,-15.446164131,2.984513044
3.874193369,1.448136056,1.348999977,-15.411257744,3.228859186
3.884729151,1.465533215,1.406000018,-15.376350403,3.455751896
3.895207125,1.482261693,1.368000031,-15.323990822,3.717551231
3.905742786,1.498499290,1.462999940,-15.271631241,3.961897373
3.916129910,1.513929454,1.424999952,-15.219270706,4.223696709
3.926631008,1.528938977,1.348999977,-15.166911125,4.468042850
3.937196320,1.543435737,1.481999874,-15.114551544,4.729842186
3.947721618,1.557268946,1.462999940,-15.062191010,4.991641521
3.958113688,1.570325724,1.501000047,-14.992378235,5.270894527
3.968589748,1.582878156,1.462999940,-14.940018654,5.550147057
3.979126960,1.594881228,1.557999969,-14.870204926,5.829399586
3.989622469,1.606211362,1.576999903,-14.800392151,6.108652592
4.000076494,1.616871807,1.481999874,-14.730578423,6.405358315
4.010665726,1.627030065,1.519999981,-14.643312454,6.684610844
4.021107348,1.636412025,1.539000034,-14.573499680,6.981317043
4.031589443,1.645192760,1.501000047,-14.486232758,7.278022766
4.042199393,1.653426541,1.595999956,-14.398966789,7.574728966
4.052592193,1.660850687,1.595999956,-14.311699867,7.871434689
4.063197909,1.667769833,1.615000010,-14.224432945,8.185594559
4.073700937,1.673965137,1.652999997,-14.119713783,8.482299805
4.084177530,1.679491234,1.557999969,-14.032446861,8.779006004
4.094797609,1.684424543,1.634000063,-13.927727699,9.075712204
4.105748670,1.688804715,1.539000034,-13.823007584,9.389871597
4.116231100,1.692323419,1.595999956,-13.718287468,9.686577797
4.126731449,1.695185755,1.634000063,-13.596115112,9.983283043
4.137215202,1.697381073,1.519999981,-13.491394997,10.279989243
4.147687068,1.698912200,0.968999982,-13.369221687,10.559242249
4.158144023,1.699780638,0.835999966,-13.247049332,10.751228333
4.168592044,1.699988804,0.722000003,-13.142329216,10.908308029
4.179145952,1.699529694,0.646000028,-13.020155907,11.013027191
4.189629412,1.698407788,0.722000003,-12.897983551,11.082840919
4.200245405,1.696595879,0.740999937,-12.775810242,11.117747307
4.210797858,1.694121561,0.740999937,-12.671090126,11.170106888
4.221619961,1.690887862,0.797999978,-12.531463623,11.187560081
4.232087869,1.687090548,0.835999966,-12.426744461,11.205014229
4.242597351,1.682617418,0.722000003,-12.304571152,11.222467422
4.253099853,1.677487623,0.703000009,-12.182397842,11.239920616
4.263646169,1.671674907,0.740999937,-12.060225487,11.239920616
4.274124789,1.665245239,0.627000034,-11.938052177,11.239920616
4.284614887,1.658157819,0.740999937,-11.833332062,11.239920616
4.295304741,1.650268527,0.835999966,-11.711159706,11.239920616
4.306370182,1.641396346,0.797999978,-11.571533203,11.239920616
4.317208030,1.632014434,0.664999962,-11.449359894,11.257373810
4.327688872,1.622293730,0.759999990,-11.344639778,11.257373810
4.338179000,1.611930418,0.817000031,-11.222467422,11.257373810
4.348697468,1.600906331,0.797999978,-11.100294113,11.257373810
4.359096491,1.589388791,0.664999962,-10.978120804,11.257373810
4.369589788,1.577147856,0.684000015,-10.873401642,11.257373810
4.380221498,1.564116217,0.759999990,-10.751228333,11.257373810
4.390598539,1.550790933,0.797999978,-10.629055023,11.257373810
4.401085832,1.536721283,0.664999962,-10.524335861,11.257373810
4.411598138,1.522015435,0.759999990,-10.402162552,11.257373810
4.422082322,1.506753728,0.703000009,-10.279989243,11.257373810
4.432740717,1.490635274,0.684000015,-10.157815933,11.257373810
4.443118649,1.474362793,0.664999962,-10.053096771,11.257373810
4.453690418,1.457206337,0.740999937,-9.930923462,11.257373810
4.464124670,1.439705630,0.703000009,-9.808750153,11.257373810
4.474802519,1.421219845,0.646000028,-9.686577797,11.257373810
4.485841078,1.401504451,0.759999990,-9.564404488,11.257373810
4.496839406,1.381257470,0.797999978,-9.442231178,11.257373810
4.507792532,1.360503715,0.684000015,-9.320057869,11.257373810
4.518742616,1.339176053,0.627000034,-9.197885513,11.257373810
4.529085508,1.318506942,0.740999937,-9.075712204,11.257373810
4.539751117,1.296668171,0.778999984,-8.953538895,11.257373810
4.550125902,1.274921981,0.759999990,-8.831365585,11.257373810
4.560615314,1.252439884,0.684000015,-8.709193230,11.257373810
4.571126688,1.229419578,0.722000003,-8.587019920,11.257373810
4.581630634,1.205933426,0.797999978,-8.482299805,11.257373810
4.592244960,1.181720294,0.778999984,-8.360127449,11.257373810
4.602610482,1.157618126,0.740999937,-8.237954140,11.257373810
4.613090021,1.132801648,0.722000003,-8.115780830,11.257373810
4.623620116,1.107420257,0.703000009,-8.011061668,11.257373810
4.634095702,1.081737337,0.627000034,-7.888888359,11.257373810
4.644577427,1.055617236,0.722000003,-7.766715050,11.257373810
4.655193688,1.028741894,0.835999966,-7.644542217,11.257373810
4.665613146,1.001964139,0.627000034,-7.539822578,11.257373810
4.676123387,0.974561557,0.684000015,-7.417649269,11.257373810
4.686608495,0.946843371,0.703000009,-7.295476437,11.257373810
4.697187220,0.918502928,0.759999990,-7.173303127,11.257373810
4.707706102,0.889960673,0.684000015,-7.068583488,11.257373810
4.718294580,0.860876257,0.740999937,-6.946410656,11.257373810
4.729192285,0.830584485,0.703000009,-6.824237347,11.257373810
4.739626317,0.801252976,0.835999966,-6.702064514,11.257373810
4.750193337,0.771231790,0.646000028,-6.579891205,11.257373810
4.760616151,0.741320508,0.664999962,-6.457718372,11.257373810
4.771260108,0.710479377,0.646000028,-6.352998257,11.257373810
4.782289096,0.678221076,0.646000028,-6.230825424,11.257373810
4.793235214,0.645915310,0.627000034,-6.091198921,11.239920616
4.803697724,0.614779634,0.646000028,-5.986479282,11.239920616
4.814096153,0.583597725,0.607999980,-5.864306450,11.205014229
4.824612592,0.551833953,0.627000034,-5.742133141,11.187560081
4.835392053,0.519050820,0.550999999,-5.619960308,11.170106888
4.846243883,0.485831177,0.569999993,-5.497786999,11.135200500
4.856633249,0.453836581,0.493999988,-5.393067360,11.117747307
4.867252102,0.420955505,0.455999970,-5.270894527,11.065387726
4.877737102,0.388323377,0.455999970,-5.148721218,11.030481339
4.888126007,0.355840685,0.474999994,-5.044001579,10.978120804
4.898691041,0.322667426,0.323000014,-4.921828270,10.925761223
4.909083496,0.289911134,0.398999989,-4.817108631,10.855947495
4.919596518,0.256661683,0.284999996,-4.694935799,10.786134720
4.930113763,0.223298029,0.227999985,-4.590216160,10.716321945
4.940737327,0.189508056,0.266000003,-4.485496044,10.629055023
4.951105329,0.156457564,0.246999994,-4.380776405,10.524335861
4.961723176,0.122548804,0.171000004,-4.276056767,10.437068939
4.972149878,0.089202629,0.171000004,-4.171337128,10.314895630
4.982662044,0.055548282,0.075999998,-4.049163818,10.210176468
4.993204438,0.021775270,0.133000001,-3.961897373,10.070549965
5.003697284,-0.011847572,0.018999999,-3.857177734,9.948376656
5.014103755,-0.045189095,0.075999998,-3.752457857,9.808750153
5.024669942,-0.079024479,0.000000000,-3.647738218,9.651670456
5.035260924,-0.112907795,-0.037999999,-3.560471773,9.512043953
5.046304106,-0.148189693,0.000000000,-3.455751896,9.337511063
5.057167626,-0.182835019,0.000000000,-3.368485451,9.162978172
5.067602192,-0.216040346,-0.075999998,-3.263765812,8.988445282
5.078206815,-0.249701136,-0.133000001,-3.176499128,8.796459198
5.088860385,-0.283416810,-0.171000004,-3.089232683,8.587019920
5.099799239,-0.317916284,-0.151999995,-3.001966238,8.360127449
5.110753523,-0.352328970,-0.246999994,-2.914699793,8.133234024
5.121117551,-0.384749331,-0.208999991,-2.844886780,7.906341553
5.131883050,-0.418269915,-0.284999996,-2.757620335,7.679448605
5.142721218,-0.451842758,-0.361000001,-2.687807083,7.417649269
5.153087593,-0.483777900,-0.417999983,-2.617993832,7.173303127
5.163573529,-0.515893403,-0.437000006,-2.548180819,6.911503792
5.174219965,-0.548294216,-0.361000001,-2.478367567,6.632251263
5.184621171,-0.579735570,-0.474999994,-2.426007748,6.352998257
5.195188221,-0.611449988,-0.437000006,-2.356194496,6.056292534
5.205744425,-0.642889650,-0.493999988,-2.303834677,5.759586334
5.216724111,-0.675320347,-0.588999987,-2.251474619,5.427973747
5.227126673,-0.705779769,-0.474999994,-2.199114799,5.096361637
5.237593805,-0.736154346,-0.532000005,-2.164208174,4.764749050
5.248329571,-0.767010684,-0.550999999,-2.111848354,4.433136463
5.259126220,-0.797725218,-0.684000015,-2.076941729,4.066617012
5.269644579,-0.827330452,-0.569999993,-2.042035341,3.700098038
5.280188646,-0.856681632,-0.588999987,-2.024581909,3.351032257
5.290596804,-0.885322655,-0.854999959,-2.007128716,2.984513044
5.301121319,-0.913937338,-0.664999962,-1.972222090,2.600540638
5.311668067,-0.942251649,-0.684000015,-1.954768777,2.234021425
5.322635248,-0.971299570,-0.854999959,-1.954768777,1.832595706
5.333251299,-0.999022248,-0.797999978,-1.937315464,1.413716674
5.343779285,-1.026119922,-0.854999959,-1.937315464,0.942477822
5.354675621,-1.053740007,-1.026000023,-1.937315464,0.488692194
5.365289565,-1.080217001,-0.949999988,-1.954768777,0.174532920
5.376436826,-1.107558690,-1.006999969,-1.954768777,-0.104719758
5.387197967,-1.133489580,-1.064000010,-1.954768777,-0.349065840
5.397640572,-1.158207143,-1.006999969,-1.972222090,-0.558505356
5.408066025,-1.182436479,-1.044999957,-1.989675403,-0.767944872
5.418772035,-1.206842541,-1.044999957,-1.989675403,-0.959931076
5.429713911,-1.231278397,-1.215999961,-2.007128716,-1.151917338
5.440134119,-1.254062500,-1.101999998,-2.024581909,-1.343903542
5.450610886,-1.276482516,-1.254000068,-2.059488535,-1.535889745
5.461149736,-1.298533134,-1.177999973,-2.076941729,-1.727875948
5.471580588,-1.319853243,-1.177999973,-2.094395161,-1.937315464
5.482250642,-1.341134304,-1.215999961,-2.129301786,-2.146754980
5.493143699,-1.362300459,-1.329999924,-2.164208174,-2.356194496
5.503597944,-1.382073985,-1.234999895,-2.181661606,-2.565634012
5.514171966,-1.401528108,-1.348999977,-2.216568232,-2.775073528
5.524586854,-1.420145235,-1.292000055,-2.251474619,-3.001966238
5.535090475,-1.438366636,-1.329999924,-2.286381245,-3.211405754
5.545597129,-1.456029240,-1.368000031,-2.338741302,-3.455751896
5.556093752,-1.473104734,-1.424999952,-2.373647690,-3.682644606
5.566564875,-1.489564188,-1.329999924,-2.426007748,-3.926990747
5.577201017,-1.505688937,-1.368000031,-2.478367567,-4.171337128
5.587605526,-1.520877004,-1.406000018,-2.530727386,-4.433136463
5.598268323,-1.535835138,-1.368000031,-2.583087206,-4.694935799
5.608587386,-1.549720403,-1.501000047,-2.635447264,-4.956735134
5.619118711,-1.563286734,-1.406000018,-2.705260277,-5.218534470
5.629678093,-1.576270722,-1.519999981,-2.757620335,-5.480333805
5.640128575,-1.588506000,-1.539000034,-2.827433348,-5.759586334
5.650687840,-1.600242585,-1.462999940,-2.897246599,-6.038839340
5.661078398,-1.611172859,-1.539000034,-2.967059612,-6.318091869
5.671591282,-1.621602811,-1.481999874,-3.054326296,-6.597344398
5.682226126,-1.631505861,-1.462999940,-3.124139309,-6.876597404
5.692574940,-1.640513209,-1.519999981,-3.211405754,-7.173303127
5.703087915,-1.649024252,-1.576999903,-3.298672199,-7.452556133
5.713667505,-1.656935510,-1.539000034,-3.385938644,-7.749261856
5.724075275,-1.664075348,-1.501000047,-3.473205328,-8.045968056
5.734590427,-1.670638458,-1.539000034,-3.560471773,-8.342674255
5.745089667,-1.676536829,-1.634000063,-3.665191412,-8.656832695
5.755568314,-1.681768938,-1.519999981,-3.769911289,-8.953538895
5.766099037,-1.686366055,-1.615000010,-3.857177734,-9.250245094
5.776576598,-1.690280549,-1.634000063,-3.961897373,-9.529498100
5.787084227,-1.693544159,-1.557999969,-4.084070683,-9.826203346
5.797644232,-1.696154714,-1.690999985,-4.188790321,-10.122909546
5.808091302,-1.698076076,-1.519999981,-4.310963154,-10.402162552
5.818669595,-1.699350644,-1.444000006,-4.415682793,-10.681414604
